stimuli
John rolled a beach ball to Mary 
Mary rolled a beach ball to John 
John handed a gift to Mary
Mary handed a gift to John
Mary carried a banana to John
John carried a banana to Mary
John threw a Frisbee to Mary
Mary threw a Frisbee to John
John mailed a letter to Mary
John gave a book to Mary
Mary gave a book to John
John brought flowers to Mary
Mary brought flowers to John
Mary kicked a soccer ball to John
John kicked a soccer ball to Mary
John mailed a letter to Mary
Mary mailed a letter to John
