Stimuli
Mary was flinging a frisbee to John 
John was flinging a frisbee to Mary 
John was kicking a soccer ball to Mary
Mary was kicking a soccer ball to John
Mary was lobbing a football to John
John was lobbing a football to Mary
John was rolling a toy truck to Mary
Mary was rolling a toy truck to John
Mary was throwing a hat to John 
John was throwing a hat to Mary 
John was tossing a dish towel to Mary
Mary was tossing a dish towel to John
John was bringing a glass of water to Mary
Mary was bringing a glass of water to John
Mary was mailing a letter to John
John was mailing a letter to Mary
John was sending a fruitcake to Mary
Mary was sending a fruitcake to John
Mary was shipping a package to John
John was shipping a package to Mary
Mary was transmitting a message to John
John was transmitting a message to Mary
John was wiring money to Mary
Mary was wiring money to John
Mary was carrying a tray to John
John was carrying a tray to Mary
John was delivering a subpoena to Mary
Mary was delivering a subpoena to John
John was giving a sweater to Mary
Mary was giving a sweater to John
John was handing a book to Mary
Mary was handing a book to John
Mary was passing a sandwich to John 
John was passing a sandwich to Mary 
Mary was serving chili to John 
John was serving chili to Mary
