Stimuli
The woman was flinging a frisbee to the man 
The man was flinging a frisbee to the woman 
The man was kicking a soccer ball to the woman
The woman was kicking a soccer ball to the man
The woman was lobbing a football to the man
The man was lobbing a football to the woman
The man was rolling a toy truck to the woman
The woman was rolling a toy truck to the man
The woman was throwing a hat to the man 
The man was throwing a hat to the woman 
The man was tossing a dish towel to the woman
The woman was tossing a dish towel to the man
The man was bringing a glass of water to the woman
The woman was bringing a glass of water to the man
The woman was mailing a letter to the man
The man was mailing a letter to the woman
The man was sending a fruitcake to the woman
The woman was sending a fruitcake to the man
The woman was shipping a package to the man
The man was shipping a package to the woman
The woman was transmitting a message to the man
The man was transmitting a message to the woman
The man was wiring money to the woman
The woman was wiring money to the man
The woman was carrying a tray to the man
The man was carrying a tray to the woman
The man was delivering a subpoena to the woman
The woman was delivering a subpoena to the man
The man was giving a sweater to the woman
The woman was giving a sweater to the man
The man was handing a book to the woman
The woman was handing a book to the man
The woman was passing a sandwich to the man 
The man was passing a sandwich to the woman 
The woman was serving chili to the man 
The man was serving chili to the woman
