stimuli
The man assisted the woman
The woman assisted the man
The woman blames the man
The man blames the woman
The woman comforted the man
The man comforted the woman
The man congratulated the woman
The woman congratulated the man
The man corrected the woman
The woman corrected the man
The woman detests the man
The man detests the woman
The man fears the woman
The woman fears the man
The woman envies the man
The man envies the woman
The man hates the woman
The woman hates the man
The man helped the woman
The woman helped the man
The man mocked the woman
The woman mocked the man
The woman noticed the man
The man noticed the woman
The woman pacified the man
The man pacified the woman
The woman praised the man
The man praised the woman
The man reproached the woman
The woman reproached the man
The woman scolded the man
The man scolded the woman
The man stared at the woman
The woman stared at the man
The man thanked the woman
The woman thanked the man
The woman trusts the man
The man trusts the woman
The woman values the man
The man values the woman
