stimuli
The man rolled a beach ball to the woman 
The woman rolled a beach ball to the man 
The man handed a gift to the woman
The woman handed a gift to the man
The woman carried a banana to the man
The man carried a banana to the woman
The man threw a Frisbee to the woman
The woman threw a Frisbee to the man
The man mailed a letter to the woman
The man gave a book to the woman
The woman gave a book to the man
The man brought flowers to the woman
The woman brought flowers to the man
The woman kicked a soccer ball to the man
The man kicked a soccer ball to the woman
The man mailed a letter to the woman
The woman mailed a letter to the man
