Stimuli
The woman flung a frisbee to the man 
The man flung a frisbee to the woman
The man kicked a soccer ball to the woman
The woman kicked a soccer ball to the man
The woman lobbed a football to the man
The man lobbed a football to the woman
The man rolled a toy truck to the woman
The woman rolled a toy truck to the man
The woman threw a hat to the man 
The man threw a hat to the woman
The man tossed a dish towel to the woman
The woman tossed a dish towel to the man
The man brought a glass of water to the woman
The woman brought a glass of water to the man
The man forwarded a gossipy email to the woman
The woman forwarded a gossipy email to the man
The woman mailed a letter to the man
The man mailed a letter to the woman
The man sent a fruitcake to the woman
The woman sent a fruitcake to the man
The woman shipped a package to the man
The man shipped a package to the woman
The woman transmitted a message to the man
The man transmitted a message to the woman
The man wired money to the woman
The woman wired money to the man
The woman carried a tray to the man
The man carried a tray to the woman
The man delivered a subpoena to the woman
The woman delivered a subpoena to the man
The man gave a sweater to the woman
The woman gave a sweater to the man
The man handed a book to the woman
The woman handed a book to the man
The woman passed a sandwich to the man 
The man passed a sandwich to the woman 
The woman served chili to the man 
The man served chili to the woman
