stimulus,he,she
Miss Smith passed a sandwich to Mr. Smith because,0.066213458776474,0.9337865710258484
The woman passed a sandwich to the man because,0.4636581540107727,0.5363418459892273
Mary passed a sandwich to John because,0.34340837597846985,0.6565915942192078
Alice passed a sandwich to Bob because,0.478458434343338,0.5215416550636292
The actress passed a sandwich to the actor because,0.2789042294025421,0.7210957407951355
The girl passed a sandwich to the boy because,0.3967563807964325,0.6032435894012451
Mrs. Taylor passed a sandwich to Mr. Williams because,0.469298392534256,0.5307015776634216
Emma passed a sandwich to David because,0.2701164484024048,0.7298835515975952
The princess passed a sandwich to the prince because,0.4489631950855255,0.5510368347167969
Sarah passed a sandwich to Robert because,0.33533430099487305,0.6646657586097717
Mrs. Williams passed a sandwich to  Mr. Taylor because,0.4894925057888031,0.5105074644088745
Emily passed a sandwich to Paul because,0.40274375677108765,0.5972563028335571
Mr. Smith passed a sandwich to Miss Smith because,0.524903416633606,0.47509658336639404
The man passed a sandwich to the woman because,0.5492744445800781,0.45072558522224426
John passed a sandwich to Mary because,0.5836001634597778,0.41639983654022217
Bob passed a sandwich to Alice because,0.32173779606819153,0.6782622337341309
The actor passed a sandwich to the actress because,0.42966538667678833,0.5703346133232117
The boy passed a sandwich to the girl because,0.5305578708648682,0.46944209933280945
Mr. William passed a sandwich to  Mrs. Taylor because,0.3469599485397339,0.6530400514602661
David passed a sandwich to Emma because,0.5822039246559143,0.41779613494873047
The prince passed a sandwich to the princess because,0.7188746929168701,0.2811253070831299
Robert passed a sandwich to Sarah because,0.3394736051559448,0.6605263352394104
Mr. Taylor passed a sandwich to Mrs. Williams because,0.16680751740932465,0.8331925272941589
Paul passed a sandwich to Emily because,0.4018237292766571,0.5981762409210205
