Stimuli,he,she
John rolled a beach ball to Mary because,0.47237375378608704,0.5276262164115906
Mary rolled a beach ball to John because,0.04511825740337372,0.9548816680908203
John handed a gift to Mary because,0.5169302821159363,0.48306968808174133
Mary handed a gift to John because,0.060616545379161835,0.9393834471702576
Mary carried a banana to John because,0.02024959959089756,0.979750394821167
John carried a banana to Mary because,0.724666178226471,0.27533388137817383
John threw a Frisbee to Mary because,0.5159159898757935,0.48408403992652893
Mary threw a Frisbee to John because,0.14407075941562653,0.8559292554855347
John mailed a letter to Mary because,0.7757049202919006,0.22429512441158295
John gave a book to Mary because,0.49061906337738037,0.5093808770179749
Mary gave a book to John because,0.04074816405773163,0.9592518210411072
John brought flowers to Mary because,0.27915534377098083,0.7208446264266968
Mary brought flowers to John because,0.07123786211013794,0.9287620782852173
Mary kicked a soccer ball to John because,0.19506001472473145,0.8049399852752686
John kicked a soccer ball to Mary because,0.28878432512283325,0.7112157344818115
Mary mailed a letter to John because,0.027944477275013924,0.9720555543899536
