stimuli
John aggravated Mary
Mary aggravated John
John amazed Mary
Mary amazed John
John amused Mary
Mary amused John
John annoyed Mary
Mary annoyed John
John apologized to Mary
Mary apologized to John
John bored Mary
Mary bored John
John charmed Mary
Mary charmed John
John offended Mary
Mary offended John
John confessed to Mary
Mary confessed to John
John deceived Mary
Mary deceived John
John disappointed Mary
Mary disappointed John
John exasperated Mary
Mary exasperated John
John fascinated Mary
Mary fascinated John
John frightened Mary
Mary frightened John
John humiliated Mary
Mary humiliated John
John infuriated Mary
Mary infuriated John
John inspires Mary
Mary inspires John
John intimidates Mary
Mary intimidates John
John scares Mary
Mary scares John
John surprised Mary
Mary surprised John
